## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Wed Apr  1 17:36:04 2020
## Using datasource: dbi:Pg:dbname=fb_2020_02_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
CG43774	Dmel	FBgn0264296	FBgn0031581	CG43774	CG10039
CG43776	Dmel	FBgn0264298	FBgn0034979	CG43776	CG13569
CG13526	Dmel	FBgn0034774	FBgn0047347	CG13526	
beat-VI	Dmel	FBgn0039584	FBgn0039583	CG14064	CG12089
Dpse\GA29343	Dpse	FBgn0250701		GA29343	
CG33993	Dmel	FBgn0053993	FBgn0035653,FBgn0035654	CG33993	CG13289,CG13290
CG12942	Dmel	FBgn0033569		CG12942	
Dsim\mir-124	Dsim	FBgn0255947		GD26096	
CG43779	Dmel	FBgn0264301	FBgn0032502	CG43779	CG15639
Wdr82	Dmel	FBgn0032030		CG17293	
CG43780	Dmel	FBgn0264302	FBgn0035765	CG43780	CG8600
CG11112	Dmel	FBgn0033164		CG11112	
Octbeta2R	Dmel	FBgn0038063	FBgn0038064,FBgn0046561,FBgn0046562,FBgn0053976	CG33976	CG18553,CG6989
Neb-cGP	Dmel	FBgn0083167	FBgn0040943,FBgn0047010,FBgn0047119	CG15304	
MESK2	Dmel	FBgn0043070	FBgn0010491,FBgn0034632,FBgn0034633,FBgn0046775,FBgn0047042,FBgn0064967	CG15669	CG15668
Nc73EF	Dmel	FBgn0010352	FBgn0036682,FBgn0062089	CG11661	
Mec2	Dmel	FBgn0030993		CG7635	
CG13579	Dmel	FBgn0035010	FBgn0046585,FBgn0046586	CG13579	
Dpse\GA29341	Dpse	FBgn0250699		GA29341	
CG31515	Dmel	FBgn0051515		CG31515	
Ate1	Dmel	FBgn0025720	FBgn0021941	CG9204	
CG10051	Dmel	FBgn0034437		CG10051	
Evi5	Dmel	FBgn0262740	FBgn0030299,FBgn0046801,FBgn0047215,FBgn0086552	CG11727	
Adar	Dmel	FBgn0026086	FBgn0022736,FBgn0041575	CG12598	
CG11951	Dmel	FBgn0039656		CG11951	
Trim9	Dmel	FBgn0051721	FBgn0032267,FBgn0032270	CG31721	CG6256,CG13145
CG34155	Dmel	FBgn0083991		CG34155	
CG1124	Dmel	FBgn0037290		CG1124	
Dvir\ssx	Dvir	FBgn0202856		GJ15667	ssx
CG6891	Dmel	FBgn0030955		CG6891	
qin	Dmel	FBgn0263974	FBgn0038633,FBgn0038628	CG43726	CG14303,CG14306
CG5131	Dmel	FBgn0032644		CG5131	
CG3294	Dmel	FBgn0031628		CG3294	
CG15754	Dmel	FBgn0030492		CG15754	
CG30491	Dmel	FBgn0050491	FBgn0033200,FBgn0033201	CG30491	CG2074,CG17986
CG30461	Dmel	FBgn0050461	FBgn0053142,FBgn0063335	CG30461	CG33142
tj	Dmel	FBgn0000964	FBgn0020276,FBgn0032786	CG10034	
RpL8	Dmel	FBgn0261602	FBgn0024939,FBgn0027679,FBgn0035352,FBgn0069397,FBgn0002611	CG1263	
CG43740	Dmel	FBgn0263997	FBgn0030192,FBgn0030193	CG43740	CG15307,CG12641
CG12347	Dmel	FBgn0038558		CG12347	
CG12498	Dmel	FBgn0040356	FBgn0029635	CG12498	
Cpr78Cc	Dmel	FBgn0037069	FBgn0026291,FBgn0063036	CG7658	
Dpse\GA33041	Dpse	FBgn0273448		GA33041	
CG40813	Dmel	FBgn0085521		CG40813	
CG4928	Dmel	FBgn0027556		CG4928	
CG42613	Dmel	FBgn0261262	FBgn0051149,FBgn0051222,FBgn0038663,FBgn0038664	CG42613	CG31149,CG31222,CG5449,CG14289
CG33269	Dmel	FBgn0053269	FBgn0036175,FBgn0040819,FBgn0052084	CG33269	CG6100,CG14139,CG32084
CG7963	Dmel	FBgn0037584		CG7963	
BTBD9	Dmel	FBgn0030228		CG1826	
CG10232	Dmel	FBgn0039108		CG10232	
gd	Dmel	FBgn0000808		CG1505	
CG1416	Dmel	FBgn0032961		CG1416	
CG31954	Dmel	FBgn0051954	FBgn0031543	CG31954	CG3229
CG3788	Dmel	FBgn0034800		CG3788	
drl	Dmel	FBgn0015380	FBgn0032764,FBgn0032765	CG17348	CG10758
wb	Dmel	FBgn0261563	FBgn0004002,FBgn0025691,FBgn0032544,FBgn0052970,FBgn0028885	CG42677	CG32970,CG15288
Dpse\GA14791	Dpse	FBgn0074818		GA14791	
CG4866	Dmel	FBgn0034232		CG4866	
CG10026	Dmel	FBgn0032785		CG10026	
Dpse\GA29339	Dpse	FBgn0250697		GA29339	
frj	Dmel	FBgn0031815		CG9526	
CG13096	Dmel	FBgn0032050		CG13096	
Elba2	Dmel	FBgn0031435		CG9883	
CG42502	Dmel	FBgn0260228		CG42502	
snoRNA:Me28S-C3420a	Dmel	FBgn0083988		CR34152	
MED18	Dmel	FBgn0026873		CG14802	
CG13996	Dmel	FBgn0031763		CG13996	
NetB	Dmel	FBgn0015774		CG10521	CG15021
CG30082	Dmel	FBgn0050082		CG30082	CR30082
Sb	Dmel	FBgn0003319	FBgn0010169	CG4316	
Dpse\GA19764	Dpse	FBgn0079760		GA19764	CG6666
CG12520	Dmel	FBgn0036324		CG12520	
CG15270	Dmel	FBgn0028879		CG15270	
snoRNA:Me28S-C3420b	Dmel	FBgn0083989		CR34153	
CG3611	Dmel	FBgn0035069	FBgn0063339	CG3611	
CG42714	Dmel	FBgn0261631		CG42714	
klar	Dmel	FBgn0001316	FBgn0002650	CG17046	
Obp83b	Dmel	FBgn0010403		CG11422	
Drat	Dmel	FBgn0033188		CG1600	
CG11581	Dmel	FBgn0030540		CG11581	
sax	Dmel	FBgn0003317		CG1891	
Dpse\GA29336	Dpse	FBgn0250694		GA29336	
CG34222	Dmel	FBgn0250822	FBgn0085251,FBgn0046076,FBgn0045330,FBgn0046065	CG34222	
CG8343	Dmel	FBgn0040502	FBgn0033066	CG8343	
Rpi	Dmel	FBgn0050410	FBgn0034848	CG30410	CG9872
CG13625	Dmel	FBgn0039210	FBgn0062057	CG13625	
pre-lola-G	Dmel	FBgn0264817		CG44025	
RhoGEF2	Dmel	FBgn0023172	FBgn0010569,FBgn0020519	CG9635	
Patronin	Dmel	FBgn0263197	FBgn0262637,FBgn0022085,FBgn0034233,FBgn0034234,FBgn0034235,FBgn0034236,FBgn0050102,FBgn0053130,FBgn0063154	CG33130	CG18462,CG18460,CG18459,CG30102,CG6516
CG12128	Dmel	FBgn0033473		CG12128	
Urod	Dmel	FBgn0033428		CG1818	
Sirup	Dmel	FBgn0031971	FBgn0027762,FBgn0063239	CG7224	
Dsim\GD25276	Dsim	FBgn0264784	FBgn0083430	GD25276	
CG16825	Dmel	FBgn0032503	FBgn0063748	CG16825	
Dpse\GA12261	Dpse	FBgn0072307		GA12261	
velo	Dmel	FBgn0035713		CG10107	
Dpse\GA30260	Dpse	FBgn0263687		GA30260	
Cp1	Dmel	FBgn0013770	FBgn0019814	CG6692	
Ilp1	Dmel	FBgn0044051	FBgn0036045	CG14173	
CG31904	Dmel	FBgn0260479	FBgn0045953,FBgn0051904	CG31904	
Ppt1	Dmel	FBgn0030057		CG12108	
Gale	Dmel	FBgn0035147		CG12030	
CG45122	Dmel	FBgn0266615		CG45122	
mir-5	Dmel	FBgn0262408	FBgn0046820,FBgn0262245	CR42952	CR33036
mir-2489	Dmel	FBgn0262194		CR42901	
Ser7	Dmel	FBgn0019929	FBgn0030154	CG2045	
Taf1	Dmel	FBgn0010355	FBgn0004775,FBgn0010420,FBgn0016735	CG17603	
mir-995	Dmel	FBgn0262185		CR42892	
mir-277	Dmel	FBgn0262419	FBgn0067715,FBgn0262261	CR42968	CR33588
Hr83	Dmel	FBgn0037436		CG10296	
CG6073	Dmel	FBgn0039417		CG6073	
CG45100	Dmel	FBgn0266539		CG45100	
mir-7	Dmel	FBgn0262370	FBgn0046816,FBgn0262176	CR42883	CR33042
cd	Dmel	FBgn0263986	FBgn0000272,FBgn0039005	CG6969	
Dlish	Dmel	FBgn0034264		CG10933	
sls	Dmel	FBgn0086906	FBgn0003432,FBgn0002186,FBgn0010396,FBgn0010850,FBgn0011512,FBgn0015898,FBgn0020409,FBgn0024279,FBgn0035301,FBgn0035302,FBgn0042183,FBgn0028238	CG1915	CG18242,CG18857,CG18245
Shawn	Dmel	FBgn0031039	FBgn0053075	CG14209	CG33075
CG11670	Dmel	FBgn0038114		CG11670	
AttC	Dmel	FBgn0041579	FBgn0033833	CG4740	
Phlpp	Dmel	FBgn0032749		CG10493	
phyl	Dmel	FBgn0013725		CG10108	
CG44013	Dmel	FBgn0264775	FBgn0038346	CG44013	CG14872
CG12184	Dmel	FBgn0025387		CG12184	
cu	Dmel	FBgn0261808	FBgn0000387,FBgn0037872,FBgn0037871,FBgn0051299	CG31299	CG4796,CG4782
CG12688	Dmel	FBgn0029707		CG12688	
CG12702	Dmel	FBgn0031070		CG12702	
porin	Dmel	FBgn0004363	FBgn0016759,FBgn0022189,FBgn0024919,FBgn0066003	CG6647	
mir-137	Dmel	FBgn0262446	FBgn0082181,FBgn0262305	CR43012	CR33575
mir-288	Dmel	FBgn0262425	FBgn0067704,FBgn0262271	CR42978	CR33604
mir-1011	Dmel	FBgn0262422	FBgn0250807,FBgn0262267	CR42974	
mir-967	Dmel	FBgn0262203		CR42910	
mir-2282	Dmel	FBgn0262260		CR42967	
mir-1008	Dmel	FBgn0262412	FBgn0250804,FBgn0262250	CR42957	
mir-1009	Dmel	FBgn0262435	FBgn0250805,FBgn0262287	CR42994	
CG12256	Dmel	FBgn0038002		CG12256	
CG4293	Dmel	FBgn0024983		CG4293	
mir-287	Dmel	FBgn0262400	FBgn0067705,FBgn0262232	CR42939	CR33603
mir-3	Dmel	FBgn0262372	FBgn0046822,FBgn0262183	CR42890	CR33037
mir-92b	Dmel	FBgn0262388	FBgn0067681,FBgn0262209	CR42916	CR33572
mir-313	Dmel	FBgn0262441	FBgn0067691,FBgn0262296	CR43003	CR33617
Dpse\mir-276a	Dpse	FBgn0082466		GA29467	
CG12725	Dmel	FBgn0030483		CG12725	
Ccp84Ag	Dmel	FBgn0004777	FBgn0063076	CG2342	
snRNA:U11	Dmel	FBgn0083987	FBgn0053708,FBgn0065106,FBgn0083061	CR34151	
zen	Dmel	FBgn0004053	FBgn0013967,FBgn0019915	CG1046	
CG44954	Dmel	FBgn0266259		CG44954	
CG43111	Dmel	FBgn0262571		CG43111	
CG6262	Dmel	FBgn0034121		CG6262	
Dpse\GA30491	Dpse	FBgn0265028	FBgn0080791,FBgn0246233,FBgn0246234,FBgn0246235	GA30491	GA24848,GA20801,GA24849,GA24850
Dpse\GA30492	Dpse	FBgn0265029	FBgn0246227,FBgn0075358	GA30492	GA24842,GA15338
CG42704	Dmel	FBgn0261615		CG42704	
CG34015	Dmel	FBgn0054015	FBgn0082900	CG34015	
Ocho	Dmel	FBgn0040296	FBgn0036457,FBgn0036458	CG3396	CG5138
CG34007	Dmel	FBgn0054007	FBgn0082886	CG34007	
mir-1007	Dmel	FBgn0262454	FBgn0250803,FBgn0262318	CR43025	
mir-9b	Dmel	FBgn0262413	FBgn0067679,FBgn0262253	CR42960	CR33563
mir-2494	Dmel	FBgn0262233		CR42940	
CG8366	Dmel	FBgn0034054		CG8366	
SP1173	Dmel	FBgn0035710		CG10121	
Dpse\GA21519	Dpse	FBgn0081505		GA21519	
Cyp316a1	Dmel	FBgn0035790		CG8540	
Osi4	Dmel	FBgn0037412		CG10303	
CG8620	Dmel	FBgn0040837		CG8620	
CG10463	Dmel	FBgn0032819		CG10463	
CG42518	Dmel	FBgn0260392	FBgn0034311	CG42518	CG5134
fred	Dmel	FBgn0051774	FBgn0031577,FBgn0031578,FBgn0040709	CG31774	CG3393,CG3390,CG12675
Dpse\GA29335	Dpse	FBgn0250693		GA29335	
CG8813	Dmel	FBgn0031476	FBgn0044529	CG8813	
Or7a	Dmel	FBgn0030016		CG10759	
Nos	Dmel	FBgn0011676		CG6713	
Sap-r	Dmel	FBgn0000416	FBgn0026286,FBgn0027566	CG12070	
ECSIT	Dmel	FBgn0028436		CG10610	
Acp26Aa	Dmel	FBgn0002855		CG8982	
ng3	Dmel	FBgn0010295	FBgn0063122	CG10788	
robl62A	Dmel	FBgn0028567	FBgn0035222	CG1014	
Spn43Aa	Dmel	FBgn0024294	FBgn0033144,FBgn0063809	CG12172	
snRNA:U6:96Ab	Dmel	FBgn0004189	FBgn0003455,FBgn0003939,FBgn0003940	CR32867	
sob	Dmel	FBgn0004892		CG3242	
alpha-Est8	Dmel	FBgn0015576		CG1121	
CG10814	Dmel	FBgn0033830		CG10814	
CG10948	Dmel	FBgn0036317		CG10948	
CG12538	Dmel	FBgn0038157		CG12538	
mir-4983	Dmel	FBgn0263515		CR43500	
MFS3	Dmel	FBgn0031307		CG4726	
snoRNA:M	Dmel	FBgn0044508	FBgn0052807	CR32807	
CG10934	Dmel	FBgn0034263	FBgn0044751	CG10934	
CG12540	Dmel	FBgn0030570	FBgn0047102	CG12540	
Dpse\mir-1	Dpse	FBgn0082485		GA29444	
snoRNA:U27:54Eb	Dmel	FBgn0063387		CR32900	
snoRNA:U49:66Da	Dmel	FBgn0060292		CR32911	
snRNA:U2:14B	Dmel	FBgn0003920	FBgn0003919	CR32913	
Cec-Psi1	Dmel	FBgn0000280		CR32926	
5SrRNA:CR33353	Dmel	FBgn0053353		CR33353	
CG13197	Dmel	FBgn0062449	FBgn0033647	CG13197	
CG30020	Dmel	FBgn0050020	FBgn0033567,FBgn0033568,FBgn0065031	CG30020	CG18353,CG12941
CG33981	Dmel	FBgn0250851	FBgn0053981,FBgn0083929	CG33981	
CG32388	Dmel	FBgn0250849	FBgn0045806,FBgn0044595,FBgn0047300,FBgn0052388,FBgn0063764,FBgn0066867	CG32388	
Cyp4ac1	Dmel	FBgn0031693		CG14032	
mir-4958	Dmel	FBgn0263516		CR43501	
Dpse\mir-13b-2	Dpse	FBgn0082475		GA29458	
mys	Dmel	FBgn0004657	FBgn0001448,FBgn0001811,FBgn0002992,FBgn0020759,FBgn0025177,FBgn0027260,FBgn0028333,FBgn0029991	CG1560	
CG3071	Dmel	FBgn0023527		CG3071	
CG15172	Dmel	FBgn0032740		CG15172	
CG30265	Dmel	FBgn0050265	FBgn0034781	CG30265	CG11682
Gr59b	Dmel	FBgn0045482	FBgn0034818,FBgn0045484,FBgn0050191	CG30191	CG13537
HLH4C	Dmel	FBgn0011277		CG3052	
CG14174	Dmel	FBgn0036036		CG14174	
Ir56a	Dmel	FBgn0050125		CG30125	
snoRNA:Psi28S-2949	Dmel	FBgn0082981		CR34525	
snoRNA:Me28S-G3255a	Dmel	FBgn0082928		CR34526	
snoRNA:Me28S-A982a	Dmel	FBgn0082943		CR34527	
snoRNA:Me28S-A982b	Dmel	FBgn0082942		CR34528	
snoRNA:Me28S-G3255b	Dmel	FBgn0082927		CR34529	
otu	Dmel	FBgn0003023		CG12743	
CG1640	Dmel	FBgn0030478		CG1640	
lectin-46Ca	Dmel	FBgn0040093	FBgn0033445	CG1656	
Trap1	Dmel	FBgn0026761		CG3152	
Gr59d	Dmel	FBgn0041236	FBgn0034823,FBgn0050330	CG30330	CG13543
CG14325	Dmel	FBgn0038531		CG14325	
CG30379	Dmel	FBgn0050379		CG30379	
CG1791	Dmel	FBgn0030163		CG1791	
Tengl2	Dmel	FBgn0052463	FBgn0031404	CG32463	CG17006
CG42486	Dmel	FBgn0259989	FBgn0260227	CG42486	CG42501
CG15739	Dmel	FBgn0030347		CG15739	
Ir60b	Dmel	FBgn0259185	FBgn0035015	CG42289	CG13582
Or45b	Dmel	FBgn0033422		CG12931	
Phf7	Dmel	FBgn0031091		CG9576	
CG12970	Dmel	FBgn0034047		CG12970	
CG30378	Dmel	FBgn0050378	FBgn0045369	CG30378	
CG3225	Dmel	FBgn0031631		CG3225	
Tengl4	Dmel	FBgn0037857		CG4683	
CG32079	Dmel	FBgn0052079	FBgn0036114	CG32079	CG11806
mir-4976	Dmel	FBgn0263517		CR43502	
CG14491	Dmel	FBgn0034284		CG14491	
CG14492	Dmel	FBgn0034283		CG14492	
CG3436	Dmel	FBgn0031229		CG3436	
hts	Dmel	FBgn0263391	FBgn0004873,FBgn0010467,FBgn0010476,FBgn0021853,FBgn0022142,FBgn0027664,FBgn0085226	CG43443	CG9325,CG34197
CG3032	Dmel	FBgn0029928		CG3032	
CG1998	Dmel	FBgn0030485		CG1998	
Dpse\mir-278	Dpse	FBgn0082463		GA29433	
dpr10	Dmel	FBgn0052057	FBgn0036069,FBgn0036071,FBgn0063023	CG32057	CG14159,CG14158
CG13366	Dmel	FBgn0025633		CG13366	
Pfrx	Dmel	FBgn0027621		CG3400	
sty	Dmel	FBgn0014388		CG1921	
Dpse\GA21762	Dpse	FBgn0081747		GA21762	
CG3557	Dmel	FBgn0031423		CG3557	
CG3513	Dmel	FBgn0031559		CG3513	
CG32137	Dmel	FBgn0052137	FBgn0036387,FBgn0036388	CG32137	CG17366,CG17365
CG43773	Dmel	FBgn0264295	FBgn0031581	CG43773	CG10039
sad	Dmel	FBgn0003312	FBgn0037957	CG14728	
CG14739	Dmel	FBgn0037987		CG14739	
CG15475	Dmel	FBgn0032867		CG15475	
stc	Dmel	FBgn0001978	FBgn0065412	CG3647	
Swip-1	Dmel	FBgn0032731		CG10641	
CG3610	Dmel	FBgn0038266		CG3610	
mir-4975	Dmel	FBgn0263518		CR43503	
CG14810	Dmel	FBgn0029589		CG14810	
mir-4964	Dmel	FBgn0263519		CR43504	
Act88F	Dmel	FBgn0000047		CG5178	
CG14997	Dmel	FBgn0035515	FBgn0064976	CG14997	
CG5316	Dmel	FBgn0038704		CG5316	
mir-927	Dmel	FBgn0262210		CR42917	
mir-965	Dmel	FBgn0262252		CR42959	
Or65b	Dmel	FBgn0041624	FBgn0052402	CG32402	
CG32440	Dmel	FBgn0052440	FBgn0037079	CG32440	CG5051
CG5347	Dmel	FBgn0030578		CG5347	
CG32521	Dmel	FBgn0052521	FBgn0031165,FBgn0031166	CG32521	CG1735,CG1726
CG34030	Dmel	FBgn0054030	FBgn0082656	CG34030	
CG5561	Dmel	FBgn0031333		CG5561	
mir-4945	Dmel	FBgn0263520		CR43505	
GluRIID	Dmel	FBgn0028422	FBgn0038817,FBgn0061176,FBgn0082321	CG18039	
Dana\Khc	Dana	FBgn0088316		GF11276	Khc
Or98a	Dmel	FBgn0039551		CG5540	
CG5568	Dmel	FBgn0035641		CG5568	
CG16721	Dmel	FBgn0029820		CG16721	
Vml	Dmel	FBgn0085362		CG34333	
Toll-4	Dmel	FBgn0032095		CG18241	
CG18266	Dmel	FBgn0031724	FBgn0044575	CG18266	
ppk19	Dmel	FBgn0039679		CG18287	
CG16998	Dmel	FBgn0035795		CG16998	
CG44215	Dmel	FBgn0265146		CG44215	
mthl12	Dmel	FBgn0045442	FBgn0052853,FBgn0063602	CG32853	
MtnD	Dmel	FBgn0053192		CG33192	
CG16894	Dmel	FBgn0034483		CG16894	
CG5758	Dmel	FBgn0032666		CG5758	
CG7183	Dmel	FBgn0038583		CG7183	
rtet	Dmel	FBgn0028468	FBgn0010915,FBgn0063806	CG5760	
Jon66Cii	Dmel	FBgn0035887	FBgn0001287	CG7170	
Gr68a	Dmel	FBgn0041231	FBgn0036201	CG7303	
CG5906	Dmel	FBgn0036217	FBgn0063324	CG5906	
Slc45-1	Dmel	FBgn0035968		CG4484	
CG5767	Dmel	FBgn0034292		CG5767	
Or33a	Dmel	FBgn0026392		CG16960	
CG18538	Dmel	FBgn0034324		CG18538	
CG18545	Dmel	FBgn0037812		CG18545	
yellow-f	Dmel	FBgn0041710	FBgn0038104	CG18550	
CtIP	Dmel	FBgn0036991		CG5872	
capu	Dmel	FBgn0000256	FBgn0031576	CG3399	CG15420
CG7381	Dmel	FBgn0038098		CG7381	
ACXC	Dmel	FBgn0040508	FBgn0032458	CG5983	
Adgf-B	Dmel	FBgn0036751		CG5998	
CG7366	Dmel	FBgn0035855	FBgn0044691	CG7366	
viaf	Dmel	FBgn0036237	FBgn0044799,FBgn0044800	CG18593	
Eig71Ej	Dmel	FBgn0014850		CG7588	
CG7509	Dmel	FBgn0035575		CG7509	
CG14042	Dmel	FBgn0260451	FBgn0031672,FBgn0040280,FBgn0045318,FBgn0063746,FBgn0031671	CG14042	CG14041
CG12730	Dmel	FBgn0029771	FBgn0047186	CG12730	
CG9072	Dmel	FBgn0030614		CG9072	
CR33797	Dmel	FBgn0053797		CR33797	CG33797
mir-992	Dmel	FBgn0262334		CR43041	
CG7794	Dmel	FBgn0038565	FBgn0044684	CG7794	
CG7791	Dmel	FBgn0033038		CG7791	
CG34447	Dmel	FBgn0085476	FBgn0031427,FBgn0051684	CG34447	CG31684,CG9966
mir-4969	Dmel	FBgn0263521		CR43506	
mir-929	Dmel	FBgn0262214		CR42921	
snRNA:U1:95Ca	Dmel	FBgn0004185	FBgn0003915,FBgn0003918,FBgn0026851,FBgn0051341	CR31341	
Menl-1	Dmel	FBgn0029154	FBgn0034124,FBgn0050097	CG7964	CG30097
Dpse\GA18636	Dpse	FBgn0078636		GA18636	
mir-4982	Dmel	FBgn0263522		CR43507	
snRNA:U6:96Ac	Dmel	FBgn0004190	FBgn0003455,FBgn0003939,FBgn0003940,FBgn0051539	CR31539	
Dsim\mir-995	Dsim	FBgn0264062		GD26763	
CG10474	Dmel	FBgn0034427		CG10474	
CG9471	Dmel	FBgn0037749		CG9471	
Cyp6t2Psi	Dmel	FBgn0041336	FBgn0051621	CR31621	
mir-133	Dmel	FBgn0262445	FBgn0067340,FBgn0262304	CR43011	CR33574
CG9663	Dmel	FBgn0031516		CG9663	
snRNA:U2:34ABa	Dmel	FBgn0004191	FBgn0003919,FBgn0003921	CR31850	
mir-4972	Dmel	FBgn0263523		CR43508	
Gr22d	Dmel	FBgn0045498	FBgn0045493,FBgn0051930	CG31930	
5SrRNA:CR33380	Dmel	FBgn0053380		CR33380	
5SrRNA:CR33381	Dmel	FBgn0053381		CR33381	
5SrRNA:CR33383	Dmel	FBgn0053383		CR33383	
5SrRNA:CR33388	Dmel	FBgn0053388		CR33388	
5SrRNA:CR33389	Dmel	FBgn0053389		CR33389	
5SrRNA:CR33398	Dmel	FBgn0053398		CR33398	
5SrRNA:CR33399	Dmel	FBgn0053399		CR33399	
CG13021	Dmel	FBgn0029669	FBgn0061433,FBgn0064988	CG13021	
Or59a	Dmel	FBgn0026384		CG9820	
5SrRNA:CR33354	Dmel	FBgn0053354		CR33354	
snRNA:U7	Dmel	FBgn0053504	FBgn0067333	CR33504	
Dsim\Mst84Da	Dsim	FBgn0191416		GD19933	Mst84Da
snoRNA:U3:54Ab	Dmel	FBgn0065047	FBgn0053628	CR33628	
Or85d	Dmel	FBgn0037594		CG11742	
CG13157	Dmel	FBgn0033732		CG13157	
Dsim\CSN6	Dsim	FBgn0192420		GD20964	CSN6
CG11986	Dmel	FBgn0037656		CG11986	
axed	Dmel	FBgn0035708	FBgn0027687	CG8398	
snmRNA:400	Dmel	FBgn0065095	FBgn0053699	CR33699	
CR33629	Dmel	FBgn0053629		CR33629	CG33629
CG11842	Dmel	FBgn0039629		CG11842	
snmRNA:204	Dmel	FBgn0065101	FBgn0053657	CR33657	
Rac1	Dmel	FBgn0010333	FBgn0014012	CG2248	
snmRNA:765	Dmel	FBgn0065083	FBgn0053789	CR33789	
CR33701	Dmel	FBgn0053701		CR33701	
snmRNA:157	Dmel	FBgn0065105	FBgn0053707	CR33707	
Prosbeta3	Dmel	FBgn0026380		CG11981	
snmRNA:838	Dmel	FBgn0065081	FBgn0053793	CR33793	
mir-3643	Dmel	FBgn0263629	FBgn0262134,FBgn0263524	CR43509	
CG46193	Dmel	FBgn0267905		CG46193	
l(1)G0193	Dmel	FBgn0027280	FBgn0029064,FBgn0029984	CG2206	
snoRNA:Psi28S-1936	Dmel	FBgn0082993		CR34530	
snoRNA:Psi28S-1153	Dmel	FBgn0083006		CR34531	
snoRNA:Me18S-C1366	Dmel	FBgn0082951		CR34532	
CG13407	Dmel	FBgn0038931		CG13407	
Dpse\GA29327	Dpse	FBgn0250685		GA29327	
Cby	Dmel	FBgn0067317	FBgn0038910	CG13415	
mir-4911	Dmel	FBgn0263525		CR43510	
CG4038	Dmel	FBgn0011824		CG4038	
CG31199	Dmel	FBgn0051199	FBgn0038823	CG31199	CG17837
CG13711	Dmel	FBgn0035572		CG13711	
Gr93a	Dmel	FBgn0041229	FBgn0038905	CG13417	
Gr57a	Dmel	FBgn0041240	FBgn0034544	CG13441	
CG13594	Dmel	FBgn0035041		CG13594	
CG13590	Dmel	FBgn0035012		CG13590	
Obp58d	Dmel	FBgn0034770		CG13519	
CG31019	Dmel	FBgn0051019		CG31019	
CG15011	Dmel	FBgn0035518		CG15011	
Nep4	Dmel	FBgn0038818		CG4058	
CG13603	Dmel	FBgn0039135		CG13603	
CG13630	Dmel	FBgn0039219		CG13630	
gek	Dmel	FBgn0023081	FBgn0010655,FBgn0044829,FBgn0061181	CG4012	
Gr93c	Dmel	FBgn0045469	FBgn0038907,FBgn0041227,FBgn0051173	CG31173	CG13411
Mo25	Dmel	FBgn0017572	FBgn0010713	CG4083	
CG2652	Dmel	FBgn0025838		CG2652	
CG2681	Dmel	FBgn0024997		CG2681	
CG31245	Dmel	FBgn0051245	FBgn0038698,FBgn0061450	CG31245	CG3575
